Iteration,Distribution,Algorithm,Length,Actual_Length,Count,Changepoints_abs,Changepoints_rel,Estimates,Error,time_used
0,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22380|40073,6.426959296430141|9.693548403944078,70407346307
0,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25030|41979,6.5016012558699|7.590659550714918,63587103135
0,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22380.0|40073.0,6.426959296430141|9.693548403944078,1218684290
0,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1325570696
1,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22369|40046,4.573040703569859|22.266589107513937,68115991212
1,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25046|41977,8.5016012558699|16.590659550714918,76057089989
1,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22369.0|40073.0,4.573040703569859|8.766589107513937,1156533830
1,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1322021270
10,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22437|40081,4.960137511458015|34.19354840394408,68876680752
10,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25022|42004,0.6797178455599351|9.589058294845017,63643901562
10,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22378.0|40095.0,4.426959296430141|6.733410892486063,1140259342
10,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1264809395
100,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22373|40059,0.573040703569859|13.766589107513937,68368649010
100,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25027|41976,5.679717845559935|7.590659550714918,76285959765
100,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22373.0|40073.0,0.573040703569859|6.766589107513937,1137018948
100,Rotary,WbsR,60000,59999,0,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,,-1|-1,1254577573
101,Bernoulli,FindChangepoints,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22365|40082,3.960137511458015|6.266589107513937,68544297000
101,Rotary,FindChangepoints,60000,59999,2,0.417022004702574|0.6997583600209312,25021.32028215444|41985.50160125587,25041|41993,7.4983987441301|13.589058294845017,62726542598
101,Bernoulli,WbsR,60000,59999,2,0.37289288401172616|0.668099335625191,22373.57304070357|40085.96013751146,22365.0|40082.0,3.960137511458015|6.266589107513937,1222497323
